line_number length LLaMA DAM H2O MoA StreamingLLM
200 3k 0.98 0.97 0.49 0.55 0.61
300 4k 0.77 0.78 0.41 0.32 0.4
400 5k 0.66 0.67 0.41 0.4 0.36
500 6k 0.47 0.43 0.2 0.23 0.26
600 8k 0.52 0.54 0.27 0.23 0.2
700 9k 0.49 0.46 0.13 0.19 0.24
800 10k 0.37 0.32 0.1 0.13 0.17
900 12k 0.32 0.28 0.11 0.1 0.12
1000 13k 0.22 0.26 0.06 0.07 0.15
1100 14k 0.24 0.22 0.09 0.09 0.09
1200 15k 0.26 0.25 0.1 0.09 0.1
1300 17k 0.17 0.13 0.05 0.06 0.04
1400 18k 0.14 0.11 0.02 0.05 0.06
1500 19k 0.12 0.16 0.01 0.07 0.05
1600 20k 0.11 0.1 0.0 0.01 0.02
1700 22k 0.1 0.11 0.02 0.04 0.07
1800 23k 0.12 0.11 0.05 0.05 0.05
1900 24k 0.05 0.07 0.0 0.01 0.02
2000 25k 0.1 0.07 0.01 0.02 0.03
2100 27k 0.1 0.1 0.04 0.01 0.03
2200 28k 0.12 0.08 0.04 0.04 0.02
2300 29k 0.11 0.11 0.03 0.03 0.01
2400 31k 0.14 0.17 0.06 0.01 0.03
2500 32k 0.09 0.1 0.03 0.03 0.04
2600 33k 0.09 0.14 0.05 0.02 0.04
2700 34k 0.06 0.05 0.01 0.04 0.01
2800 36k 0.08 0.06 0.02 0.04 0.01
2900 37k 0.1 0.09 0.0 0.05 0.04
3000 38k 0.08 0.06 0.02 0.03 0.01
3100 39k 0.06 0.07 0.03 0.01 0.03
3200 41k 0.12 0.08 0.05 0.03 0.02
3300 42k 0.13 0.09 0.02 0.04 0.07
3400 43k 0.03 0.03 0.01 0.01 0.0
3500 45k 0.11 0.06 0.01 0.03 0.02
3600 46k 0.07 0.03 0.03 0.03 0.01
3700 47k 0.09 0.09 0.04 0.02 0.02
3800 48k 0.1 0.08 0.01 0.02 0.03
3900 50k 0.04 0.05 0.01 0.02 0.01
4000 51k 0.07 0.07 0.03 0.0 0.05
4100 52k 0.05 0.03 0.0 0.0 0.0
4200 53k 0.06 0.04 0.01 0.01 0.0
4300 55k 0.04 0.06 0.0 0.02 0.01
4400 56k 0.02 0.03 0.02 0.01 0.01
4500 57k 0.05 0.05 0.0 0.0 0.0
4600 59k 0.03 0.03 0.01 0.01 0.01
4700 60k 0.04 0.0 0.0 0.0 0.0
4800 61k 0.02 0.02 0.0 0.0 0.01
4900 62k 0.03 0.04 0.01 0.0 0.0
5000 64k 0.04 0.02 0.0 0.01 0.01
5100 65k 0.05 0.02 0.01 0.0 0.0
5200 66k 0.02 0.04 0.0 0.0 0.0
5300 67k 0.03 0.03 0.0 0.02 0.02
5400 69k 0.03 0.04 0.0 0.0 0.0
5500 70k 0.01 0.02 0.01 0.0 0.0
5600 71k 0.01 0.0 0.01 0.0 0.0
5700 73k 0.01 0.01 0.01 0.0 0.01
5800 74k 0.0 0.01 0.0 0.0 0.0
5900 75k 0.03 0.09 0.0 0.0 0.0
6000 76k 0.0 0.01 0.0 0.0 0.0
6100 78k 0.0 0.0 0.0 0.0 0.0
6200 79k 0.02 0.03 0.01 0.01 0.0
6300 80k 0.0 0.0 0.0 0.0 0.01
6400 81k 0.02 0.02 0.0 0.0 0.0
6500 83k 0.01 0.01 0.0 0.0 0.0
6600 84k 0.04 0.02 0.0 0.0 0.0
6700 85k 0.02 0.02 0.0 0.0 0.0
6800 87k 0.0 0.0 0.0 0.0 0.0
6900 88k 0.01 0.01 0.0 0.01 0.01
7000 89k 0.01 0.0 0.0 0.0 0.01
7100 90k 0.02 0.03 0.0 0.02 0.0
7200 92k 0.02 0.0 0.0 0.0 0.0
7300 93k 0.0 0.0 0.0 0.0 0.0
7400 94k 0.01 0.01 0.0 0.0 0.0
7500 95k 0.0 0.0 0.0 0.0 0.0
7600 97k 0.03 0.0 0.0 0.0 0.0
7700 98k 0.01 0.01 0.0 0.01 0.0
7800 99k 0.0 0.0 0.01 0.0 0.0
7900 101k 0.0 0.0 0.0 0.0 0.0
8000 102k 0.0 0.0 0.01 0.0 0.0
8100 103k 0.02 0.02 0.0 0.0 0.0
