line_number length LLaMA DAM H2O MoA StreamingLLM
200 3k 0.99 1.0 0.96 0.96 0.97
300 4k 1.0 1.0 0.95 0.94 0.92
400 5k 0.98 0.98 0.92 0.95 0.93
500 6k 0.99 0.98 0.92 0.92 0.9
600 8k 0.93 0.92 0.84 0.85 0.85
700 9k 0.95 0.92 0.84 0.86 0.83
800 10k 0.88 0.87 0.76 0.84 0.76
900 12k 0.86 0.89 0.75 0.77 0.8
1000 13k 0.91 0.89 0.78 0.81 0.86
1100 14k 0.86 0.86 0.78 0.8 0.77
1200 15k 0.86 0.9 0.74 0.78 0.7
1300 17k 0.85 0.84 0.73 0.72 0.73
1400 18k 0.93 0.91 0.82 0.77 0.79
1500 19k 0.88 0.86 0.72 0.78 0.78
1600 20k 0.86 0.85 0.75 0.75 0.77
1700 22k 0.83 0.82 0.69 0.74 0.67
1800 23k 0.88 0.86 0.74 0.75 0.72
1900 24k 0.82 0.76 0.73 0.63 0.61
2000 25k 0.83 0.8 0.67 0.68 0.69
2100 27k 0.59 0.6 0.5 0.53 0.55
2200 28k 0.72 0.73 0.59 0.66 0.61
2300 29k 0.72 0.72 0.55 0.55 0.6
2400 31k 0.71 0.65 0.51 0.51 0.56
2500 32k 0.69 0.66 0.57 0.54 0.57
2600 33k 0.69 0.72 0.56 0.55 0.58
2700 34k 0.64 0.64 0.5 0.49 0.42
2800 36k 0.53 0.57 0.38 0.37 0.4
2900 37k 0.61 0.55 0.41 0.42 0.43
3000 38k 0.48 0.48 0.35 0.38 0.37
3100 39k 0.53 0.54 0.42 0.37 0.41
3200 41k 0.43 0.44 0.36 0.31 0.34
3300 42k 0.41 0.47 0.35 0.3 0.37
3400 43k 0.42 0.48 0.37 0.33 0.4
3500 45k 0.46 0.49 0.37 0.31 0.34
3600 46k 0.47 0.44 0.34 0.35 0.32
3700 47k 0.52 0.5 0.38 0.46 0.37
3800 48k 0.45 0.43 0.28 0.32 0.33
3900 50k 0.43 0.46 0.28 0.33 0.31
4000 51k 0.48 0.46 0.35 0.4 0.3
4100 52k 0.33 0.36 0.24 0.3 0.29
4200 53k 0.44 0.46 0.37 0.34 0.34
4300 55k 0.47 0.44 0.36 0.38 0.34
4400 56k 0.37 0.39 0.33 0.32 0.3
4500 57k 0.4 0.33 0.31 0.32 0.26
4600 59k 0.38 0.29 0.25 0.23 0.28
4700 60k 0.39 0.39 0.34 0.33 0.34
4800 61k 0.35 0.37 0.28 0.23 0.23
4900 62k 0.41 0.34 0.23 0.28 0.26
5000 64k 0.32 0.27 0.17 0.26 0.24
5100 65k 0.45 0.36 0.23 0.31 0.26
5200 66k 0.38 0.37 0.22 0.31 0.28
5300 67k 0.41 0.42 0.31 0.33 0.29
5400 69k 0.33 0.36 0.27 0.29 0.3
5500 70k 0.35 0.32 0.24 0.26 0.23
5600 71k 0.31 0.29 0.27 0.23 0.25
5700 73k 0.33 0.39 0.25 0.25 0.19
5800 74k 0.36 0.36 0.3 0.28 0.25
5900 75k 0.34 0.33 0.25 0.23 0.19
6000 76k 0.24 0.28 0.19 0.17 0.21
6100 78k 0.33 0.34 0.28 0.24 0.23
6200 79k 0.28 0.24 0.13 0.2 0.16
6300 80k 0.21 0.17 0.18 0.14 0.08
6400 81k 0.29 0.26 0.19 0.2 0.21
6500 83k 0.19 0.2 0.14 0.12 0.13
6600 84k 0.2 0.21 0.13 0.14 0.12
6700 85k 0.28 0.27 0.15 0.21 0.15
6800 87k 0.24 0.19 0.17 0.15 0.13
6900 88k 0.24 0.25 0.16 0.18 0.18
7000 89k 0.27 0.25 0.16 0.21 0.2
7100 90k 0.23 0.22 0.14 0.12 0.18
7200 92k 0.26 0.28 0.22 0.17 0.15
7300 93k 0.14 0.16 0.07 0.12 0.09
7400 94k 0.17 0.17 0.08 0.12 0.11
7500 95k 0.22 0.19 0.09 0.1 0.14
7600 97k 0.18 0.2 0.09 0.11 0.14
7700 98k 0.16 0.14 0.1 0.09 0.11
7800 99k 0.12 0.11 0.05 0.06 0.09
7900 101k 0.2 0.13 0.07 0.1 0.07
8000 102k 0.21 0.2 0.15 0.12 0.15
8100 103k 0.16 0.2 0.12 0.13 0.1
