line_number length LLaMA DAM H2O MoA StreamingLLM
200 3k 1.0 0.99 0.96 0.92 0.97
300 4k 1.0 1.0 0.93 0.93 0.94
400 5k 0.98 0.98 0.91 0.94 0.88
500 6k 1.0 1.0 0.93 0.88 0.85
600 8k 0.92 0.95 0.82 0.81 0.85
700 9k 0.92 0.93 0.8 0.82 0.83
800 10k 0.9 0.88 0.76 0.78 0.83
900 12k 0.88 0.86 0.81 0.83 0.76
1000 13k 0.9 0.9 0.84 0.81 0.78
1100 14k 0.87 0.89 0.82 0.8 0.78
1200 15k 0.91 0.87 0.8 0.77 0.7
1300 17k 0.86 0.86 0.73 0.76 0.78
1400 18k 0.94 0.93 0.71 0.81 0.77
1500 19k 0.88 0.88 0.72 0.73 0.77
1600 20k 0.87 0.85 0.74 0.77 0.71
1700 22k 0.85 0.83 0.65 0.65 0.7
1800 23k 0.83 0.86 0.74 0.75 0.78
1900 24k 0.78 0.78 0.7 0.7 0.71
2000 25k 0.82 0.81 0.71 0.65 0.66
2100 27k 0.6 0.61 0.47 0.49 0.47
2200 28k 0.75 0.71 0.6 0.6 0.66
2300 29k 0.77 0.69 0.55 0.62 0.6
2400 31k 0.68 0.66 0.54 0.55 0.51
2500 32k 0.69 0.7 0.52 0.55 0.54
2600 33k 0.67 0.68 0.54 0.57 0.57
2700 34k 0.61 0.59 0.46 0.45 0.5
2800 36k 0.53 0.53 0.44 0.42 0.45
2900 37k 0.6 0.55 0.41 0.45 0.45
3000 38k 0.51 0.5 0.37 0.36 0.37
3100 39k 0.57 0.57 0.41 0.46 0.4
3200 41k 0.51 0.4 0.26 0.33 0.35
3300 42k 0.38 0.42 0.3 0.32 0.32
3400 43k 0.44 0.48 0.36 0.4 0.33
3500 45k 0.48 0.48 0.33 0.38 0.37
3600 46k 0.46 0.43 0.33 0.36 0.3
3700 47k 0.56 0.51 0.28 0.34 0.4
3800 48k 0.45 0.4 0.32 0.36 0.34
3900 50k 0.44 0.43 0.33 0.38 0.29
4000 51k 0.44 0.46 0.31 0.28 0.29
4100 52k 0.33 0.34 0.28 0.22 0.28
4200 53k 0.45 0.48 0.4 0.37 0.34
4300 55k 0.45 0.48 0.38 0.36 0.27
4400 56k 0.35 0.4 0.3 0.31 0.29
4500 57k 0.38 0.35 0.26 0.3 0.23
4600 59k 0.35 0.34 0.27 0.27 0.26
4700 60k 0.35 0.4 0.33 0.31 0.31
4800 61k 0.36 0.44 0.2 0.22 0.26
4900 62k 0.33 0.29 0.24 0.25 0.27
5000 64k 0.32 0.3 0.26 0.14 0.19
5100 65k 0.42 0.38 0.27 0.27 0.26
5200 66k 0.37 0.38 0.29 0.32 0.24
5300 67k 0.41 0.37 0.33 0.31 0.31
5400 69k 0.34 0.32 0.23 0.24 0.24
5500 70k 0.36 0.34 0.28 0.27 0.25
5600 71k 0.3 0.34 0.27 0.21 0.22
5700 73k 0.36 0.37 0.22 0.24 0.29
5800 74k 0.37 0.38 0.22 0.24 0.25
5900 75k 0.31 0.34 0.23 0.22 0.28
6000 76k 0.3 0.27 0.14 0.17 0.18
6100 78k 0.33 0.33 0.2 0.21 0.21
6200 79k 0.26 0.26 0.17 0.16 0.22
6300 80k 0.21 0.17 0.15 0.13 0.14
6400 81k 0.27 0.28 0.17 0.19 0.17
6500 83k 0.19 0.14 0.13 0.13 0.08
6600 84k 0.21 0.17 0.13 0.15 0.16
6700 85k 0.31 0.28 0.2 0.14 0.14
6800 87k 0.28 0.22 0.19 0.16 0.2
6900 88k 0.25 0.27 0.21 0.13 0.18
7000 89k 0.3 0.23 0.2 0.19 0.2
7100 90k 0.2 0.22 0.18 0.21 0.2
7200 92k 0.28 0.27 0.17 0.17 0.14
7300 93k 0.14 0.17 0.1 0.1 0.09
7400 94k 0.15 0.14 0.15 0.11 0.12
7500 95k 0.19 0.24 0.16 0.08 0.16
7600 97k 0.23 0.2 0.12 0.1 0.11
7700 98k 0.16 0.13 0.11 0.04 0.1
7800 99k 0.11 0.08 0.1 0.07 0.03
7900 101k 0.17 0.11 0.1 0.14 0.09
8000 102k 0.19 0.2 0.14 0.14 0.11
8100 103k 0.15 0.14 0.13 0.08 0.07
