line_number length LLaMA DAM H2O MoA StreamingLLM
200 3k 0.99 1.0 0.94 0.96 0.89
300 4k 1.0 1.0 0.93 0.94 0.94
400 5k 0.98 0.97 0.97 0.89 0.94
500 6k 0.99 0.96 0.87 0.88 0.88
600 8k 0.95 0.92 0.86 0.86 0.88
700 9k 0.93 0.9 0.86 0.77 0.8
800 10k 0.87 0.87 0.79 0.73 0.76
900 12k 0.86 0.85 0.78 0.78 0.83
1000 13k 0.9 0.88 0.75 0.8 0.8
1100 14k 0.9 0.9 0.77 0.78 0.82
1200 15k 0.89 0.9 0.74 0.75 0.81
1300 17k 0.83 0.84 0.77 0.77 0.78
1400 18k 0.91 0.91 0.79 0.79 0.79
1500 19k 0.87 0.85 0.77 0.74 0.74
1600 20k 0.85 0.86 0.76 0.74 0.76
1700 22k 0.81 0.8 0.74 0.69 0.75
1800 23k 0.89 0.86 0.72 0.69 0.74
1900 24k 0.82 0.81 0.63 0.7 0.64
2000 25k 0.8 0.79 0.67 0.66 0.61
2100 27k 0.62 0.63 0.5 0.54 0.5
2200 28k 0.73 0.73 0.61 0.62 0.53
2300 29k 0.74 0.72 0.61 0.63 0.59
2400 31k 0.67 0.65 0.57 0.56 0.57
2500 32k 0.7 0.74 0.56 0.54 0.54
2600 33k 0.65 0.66 0.64 0.56 0.53
2700 34k 0.62 0.66 0.47 0.47 0.47
2800 36k 0.57 0.53 0.39 0.41 0.36
2900 37k 0.54 0.6 0.4 0.46 0.47
3000 38k 0.53 0.55 0.48 0.37 0.32
3100 39k 0.57 0.57 0.45 0.37 0.51
3200 41k 0.44 0.45 0.38 0.39 0.33
3300 42k 0.45 0.44 0.28 0.33 0.3
3400 43k 0.44 0.43 0.31 0.29 0.31
3500 45k 0.48 0.49 0.38 0.31 0.43
3600 46k 0.45 0.45 0.32 0.32 0.38
3700 47k 0.56 0.56 0.42 0.38 0.46
3800 48k 0.46 0.44 0.38 0.34 0.34
3900 50k 0.44 0.44 0.25 0.23 0.27
4000 51k 0.43 0.48 0.36 0.33 0.34
4100 52k 0.34 0.33 0.25 0.28 0.23
4200 53k 0.48 0.48 0.33 0.38 0.35
4300 55k 0.47 0.42 0.38 0.33 0.35
4400 56k 0.36 0.39 0.31 0.25 0.29
4500 57k 0.39 0.41 0.28 0.3 0.26
4600 59k 0.33 0.3 0.24 0.23 0.29
4700 60k 0.38 0.39 0.37 0.3 0.27
4800 61k 0.4 0.34 0.3 0.23 0.25
4900 62k 0.36 0.33 0.33 0.26 0.31
5000 64k 0.34 0.31 0.22 0.18 0.22
5100 65k 0.44 0.47 0.32 0.29 0.35
5200 66k 0.35 0.4 0.23 0.32 0.22
5300 67k 0.42 0.43 0.32 0.31 0.31
5400 69k 0.38 0.34 0.22 0.28 0.17
5500 70k 0.35 0.35 0.26 0.25 0.25
5600 71k 0.37 0.38 0.24 0.25 0.2
5700 73k 0.33 0.36 0.27 0.2 0.2
5800 74k 0.39 0.36 0.24 0.25 0.26
5900 75k 0.34 0.31 0.24 0.26 0.23
6000 76k 0.28 0.31 0.17 0.2 0.15
6100 78k 0.35 0.34 0.21 0.21 0.3
6200 79k 0.27 0.24 0.17 0.22 0.14
6300 80k 0.25 0.17 0.16 0.12 0.14
6400 81k 0.26 0.27 0.19 0.18 0.21
6500 83k 0.19 0.17 0.11 0.16 0.09
6600 84k 0.21 0.21 0.11 0.13 0.17
6700 85k 0.29 0.26 0.24 0.17 0.11
6800 87k 0.22 0.22 0.12 0.18 0.18
6900 88k 0.29 0.24 0.17 0.14 0.16
7000 89k 0.24 0.22 0.15 0.18 0.15
7100 90k 0.24 0.19 0.2 0.16 0.17
7200 92k 0.25 0.23 0.17 0.17 0.18
7300 93k 0.13 0.12 0.07 0.11 0.09
7400 94k 0.14 0.16 0.12 0.1 0.06
7500 95k 0.17 0.24 0.13 0.15 0.13
7600 97k 0.25 0.21 0.11 0.11 0.14
7700 98k 0.15 0.16 0.1 0.1 0.1
7800 99k 0.12 0.08 0.05 0.07 0.06
7900 101k 0.16 0.14 0.09 0.12 0.1
8000 102k 0.19 0.22 0.16 0.14 0.15
8100 103k 0.2 0.17 0.05 0.11 0.09
