line_number length LLaMA DAM H2O MoA StreamingLLM
200 3k 1.0 1.0 0.98 0.94 0.96
300 4k 1.0 1.0 0.97 0.92 0.93
400 5k 0.98 0.97 0.93 0.9 0.96
500 6k 0.98 0.99 0.93 0.91 0.96
600 8k 0.92 0.94 0.9 0.86 0.83
700 9k 0.95 0.94 0.84 0.85 0.84
800 10k 0.89 0.87 0.79 0.8 0.8
900 12k 0.86 0.88 0.83 0.71 0.74
1000 13k 0.92 0.88 0.8 0.73 0.78
1100 14k 0.86 0.88 0.83 0.82 0.8
1200 15k 0.89 0.87 0.75 0.77 0.72
1300 17k 0.85 0.82 0.76 0.77 0.77
1400 18k 0.92 0.92 0.77 0.82 0.85
1500 19k 0.88 0.87 0.75 0.74 0.75
1600 20k 0.86 0.89 0.71 0.76 0.66
1700 22k 0.85 0.84 0.67 0.68 0.7
1800 23k 0.85 0.83 0.72 0.66 0.75
1900 24k 0.84 0.81 0.62 0.67 0.7
2000 25k 0.8 0.8 0.71 0.68 0.65
2100 27k 0.66 0.62 0.5 0.5 0.54
2200 28k 0.73 0.69 0.57 0.6 0.63
2300 29k 0.75 0.71 0.57 0.6 0.58
2400 31k 0.72 0.67 0.59 0.53 0.54
2500 32k 0.71 0.7 0.55 0.57 0.56
2600 33k 0.7 0.69 0.55 0.57 0.56
2700 34k 0.6 0.64 0.48 0.49 0.54
2800 36k 0.52 0.61 0.36 0.4 0.45
2900 37k 0.6 0.59 0.41 0.46 0.51
3000 38k 0.52 0.55 0.4 0.46 0.37
3100 39k 0.53 0.53 0.49 0.45 0.39
3200 41k 0.49 0.47 0.32 0.36 0.3
3300 42k 0.43 0.44 0.31 0.32 0.38
3400 43k 0.45 0.47 0.33 0.36 0.3
3500 45k 0.44 0.47 0.38 0.37 0.38
3600 46k 0.46 0.46 0.39 0.36 0.34
3700 47k 0.48 0.49 0.37 0.35 0.48
3800 48k 0.48 0.47 0.36 0.37 0.38
3900 50k 0.44 0.44 0.29 0.33 0.29
4000 51k 0.45 0.48 0.3 0.36 0.37
4100 52k 0.35 0.37 0.3 0.31 0.31
4200 53k 0.51 0.44 0.39 0.32 0.37
4300 55k 0.47 0.44 0.31 0.34 0.38
4400 56k 0.37 0.37 0.27 0.23 0.23
4500 57k 0.37 0.37 0.22 0.31 0.3
4600 59k 0.34 0.35 0.24 0.26 0.23
4700 60k 0.39 0.38 0.34 0.31 0.3
4800 61k 0.38 0.33 0.23 0.26 0.26
4900 62k 0.34 0.34 0.28 0.25 0.28
5000 64k 0.35 0.25 0.25 0.24 0.22
5100 65k 0.45 0.4 0.34 0.33 0.31
5200 66k 0.37 0.42 0.26 0.27 0.3
5300 67k 0.42 0.38 0.28 0.36 0.3
5400 69k 0.35 0.34 0.27 0.27 0.25
5500 70k 0.35 0.34 0.27 0.29 0.23
5600 71k 0.37 0.36 0.24 0.29 0.25
5700 73k 0.37 0.36 0.21 0.2 0.21
5800 74k 0.35 0.37 0.23 0.24 0.23
5900 75k 0.35 0.29 0.2 0.25 0.25
6000 76k 0.28 0.24 0.19 0.2 0.21
6100 78k 0.36 0.36 0.22 0.18 0.25
6200 79k 0.3 0.28 0.19 0.22 0.2
6300 80k 0.24 0.16 0.2 0.15 0.13
6400 81k 0.28 0.3 0.15 0.15 0.2
6500 83k 0.18 0.17 0.13 0.11 0.08
6600 84k 0.2 0.19 0.13 0.09 0.17
6700 85k 0.28 0.28 0.17 0.14 0.19
6800 87k 0.24 0.27 0.18 0.2 0.14
6900 88k 0.27 0.29 0.18 0.17 0.14
7000 89k 0.24 0.28 0.21 0.17 0.18
7100 90k 0.3 0.25 0.19 0.2 0.15
7200 92k 0.28 0.28 0.19 0.18 0.18
7300 93k 0.16 0.12 0.1 0.07 0.13
7400 94k 0.11 0.14 0.09 0.09 0.09
7500 95k 0.18 0.18 0.12 0.1 0.17
7600 97k 0.22 0.22 0.11 0.14 0.16
7700 98k 0.18 0.12 0.13 0.08 0.1
7800 99k 0.1 0.05 0.1 0.08 0.08
7900 101k 0.12 0.15 0.09 0.06 0.05
8000 102k 0.25 0.24 0.12 0.1 0.14
8100 103k 0.16 0.12 0.09 0.12 0.1
